2026-07-09 20:33:57,934 | INFO     | modules.feature_engineering.dataset_builder | Built dataset with 32 records.
2026-07-09 20:34:21,161 | INFO     | modules.feature_engineering.dataset_builder | Building dataset from folder: E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:34:21,504 | INFO     | modules.pdf_processor.pdf_loader | Loaded 32 PDFs from E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:34:21,509 | INFO     | modules.feature_engineering.dataset_builder | Built dataset with 32 records.
2026-07-09 20:34:23,498 | INFO     | modules.feature_engineering.dataset_builder | Augmenting dataset to balance classes...
2026-07-09 20:34:23,512 | INFO     | modules.feature_engineering.dataset_builder | Augmented dataset size: 82 records.
2026-07-09 20:34:28,668 | INFO     | modules.feature_engineering.dataset_builder | Dataset saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\data\processed\hecar_dataset.csv
2026-07-09 20:34:34,150 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:34:43,739 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:34:58,273 | INFO     | modules.feature_engineering.dataset_builder | Building dataset from folder: E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:34:58,645 | INFO     | modules.pdf_processor.pdf_loader | Loaded 32 PDFs from E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:34:58,652 | INFO     | modules.feature_engineering.dataset_builder | Built dataset with 32 records.
2026-07-09 20:35:00,169 | INFO     | modules.feature_engineering.dataset_builder | Augmenting dataset to balance classes...
2026-07-09 20:35:00,182 | INFO     | modules.feature_engineering.dataset_builder | Augmented dataset size: 82 records.
2026-07-09 20:35:08,954 | INFO     | modules.feature_engineering.dataset_builder | Dataset saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\data\processed\hecar_dataset.csv
2026-07-09 20:36:05,166 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:37:35,308 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:37:38,097 | INFO     | modules.feature_engineering.dataset_builder | Building dataset from folder: E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:37:38,456 | INFO     | modules.pdf_processor.pdf_loader | Loaded 32 PDFs from E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:37:38,462 | INFO     | modules.feature_engineering.dataset_builder | Built dataset with 32 records.
2026-07-09 20:37:39,409 | INFO     | modules.feature_engineering.dataset_builder | Augmenting dataset to balance classes...
2026-07-09 20:37:39,418 | INFO     | modules.feature_engineering.dataset_builder | Augmented dataset size: 82 records.
2026-07-09 20:37:41,242 | INFO     | modules.feature_engineering.dataset_builder | Dataset saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\data\processed\hecar_dataset.csv
2026-07-09 20:37:44,389 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:38:00,584 | INFO     | __main__ | Application closed by user.
2026-07-09 20:38:00,585 | INFO     | __main__ | HECAR Framework shut down.
2026-07-09 20:38:19,105 | INFO     | __main__ | ============================================================
2026-07-09 20:38:19,105 | INFO     | __main__ |   HECAR — Cardiac AI Diagnostic Framework
2026-07-09 20:38:19,105 | INFO     | __main__ | ============================================================
2026-07-09 20:38:22,081 | INFO     | __main__ | All core dependencies verified.
2026-07-09 20:38:22,919 | INFO     | __main__ | Application started successfully.
2026-07-09 20:38:25,849 | INFO     | modules.feature_engineering.dataset_builder | Building dataset from folder: E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:38:26,216 | INFO     | modules.pdf_processor.pdf_loader | Loaded 32 PDFs from E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:38:26,223 | INFO     | modules.feature_engineering.dataset_builder | Built dataset with 32 records.
2026-07-09 20:38:27,296 | INFO     | modules.feature_engineering.dataset_builder | Augmenting dataset to balance classes...
2026-07-09 20:38:27,308 | INFO     | modules.feature_engineering.dataset_builder | Augmented dataset size: 82 records.
2026-07-09 20:38:31,371 | INFO     | modules.feature_engineering.dataset_builder | Dataset saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\data\processed\hecar_dataset.csv
2026-07-09 20:38:38,579 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:38:43,803 | INFO     | modules.models.model_manager | Keras model saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\model\saved\cnn_bilstm.keras
2026-07-09 20:39:06,041 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:39:11,081 | INFO     | modules.models.model_manager | Keras model saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\model\saved\cnn_bilstm.keras
2026-07-09 20:39:28,253 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:39:33,008 | INFO     | modules.models.model_manager | Keras model saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\model\saved\cnn_bilstm.keras
2026-07-09 20:39:46,955 | INFO     | __main__ | HECAR Framework shut down.
2026-07-09 20:39:50,631 | INFO     | __main__ | ============================================================
2026-07-09 20:39:50,631 | INFO     | __main__ |   HECAR — Cardiac AI Diagnostic Framework
2026-07-09 20:39:50,631 | INFO     | __main__ | ============================================================
2026-07-09 20:39:53,678 | INFO     | __main__ | All core dependencies verified.
2026-07-09 20:39:54,502 | INFO     | __main__ | Application started successfully.
2026-07-09 20:39:58,073 | INFO     | modules.feature_engineering.dataset_builder | Building dataset from folder: E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:39:58,432 | INFO     | modules.pdf_processor.pdf_loader | Loaded 32 PDFs from E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\ECG-REPORTS-DATA-TRICOG
2026-07-09 20:39:58,440 | INFO     | modules.feature_engineering.dataset_builder | Built dataset with 32 records.
2026-07-09 20:39:59,216 | INFO     | modules.feature_engineering.dataset_builder | Augmenting dataset to balance classes...
2026-07-09 20:39:59,228 | INFO     | modules.feature_engineering.dataset_builder | Augmented dataset size: 82 records.
2026-07-09 20:40:00,948 | INFO     | modules.feature_engineering.dataset_builder | Dataset saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\data\processed\hecar_dataset.csv
2026-07-09 20:40:04,862 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:40:09,556 | INFO     | modules.models.model_manager | Keras model saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\model\saved\cnn_bilstm.keras
2026-07-09 20:40:09,556 | INFO     | modules.models.model_manager | History saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\model\history\cnn_bilstm_history.json
2026-07-09 20:40:43,303 | INFO     | modules.models.cnn_bilstm | CNN-BiLSTM model built successfully.
2026-07-09 20:40:47,874 | INFO     | modules.models.model_manager | Keras model saved to E:\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\18. Automated Detection of Cardiac Arrhythmia using Recurrent Neural Network\hecar_framework\model\saved\cnn_bilstm.keras
